,time,name,country,place,marathon,day,month,year,gender
47,2:24:38,Sardana TROFIMOVA,RUS,4,Frankfurt,25,OCT,2015,F
48,2:24:40,Mulu SEBOKA,ETH,5,Chicago,11,OCT,2015,F
49,2:24:42,Visiline JEPKESHO,KEN,3,Paris,12,APR,2015,F
50,2:24:42,Mai ITO,JPN,3,Nagoya,8,MAR,2015,F
51,2:24:44,Sultan HAYDAR,TUR,12,Dubai,23,JAN,2015,F
52,2:24:49,Sara MOREIRA,POR,2,Prague,3,MAY,2015,F
53,2:25:01,Priscah JEPTOO,KEN,7,London,26,APR,2015,F
54,2:25:01,Tadelech BEKELE,ETH,4,Berlin,27,SEP,2015,F
55,2:25:09,Purity RIONORIPO,KEN,1,Lisbon,18,OCT,2015,F
56,2:25:11,Meskerem ASSEFA,ETH,6,Chicago,11,OCT,2015,F
57,2:25:15,Ana Dulce FELIX,POR,8,London,26,APR,2015,F
58,2:25:22,Rebecca KANGOGO,KEN,13,Dubai,23,JAN,2015,F
59,2:25:24,Letebrhan HAYLAY,ETH,3,Prague,3,MAY,2015,F
60,2:25:30,Aberu MEKURIA,ETH,1,Ottawa,24,MAY,2015,F
61,2:25:32,Aselefech Mergia,ETH,2,New York,1,NOV,2015,F
62,2:25:36,Volha MAZURONAK,BLR,9,London,26,APR,2015,F
63,2:25:41,Meseret HAILU,ETH,1,Hamburg,26,APR,2015,F
64,2:25:41,Rebecca Kangogo CHESIR,KEN,2,Ottawa,24,MAY,2015,F
65,2:25:42,Melkam GIZAW,ETH,1,Ljubljana,25,OCT,2015,F
66,2:25:50,Tigist Tufa,ETH,3,New York,1,NOV,2015,F
67,2:25:46,Agnes Jepkemboi KIPROP,KEN,1,Hengshui,26,SEP,2015,F
68,2:25:53,Abebech AFEWORK,ETH,3,Ottawa,24,MAY,2015,F
69,2:25:53,Sara Moreira,POR,4,New York,1,NOV,2015,F
70,2:25:58,MEKURIA,ETH,14,Dubai,23,JAN,2015,F
71,2:25:58,Meskere ASSEFA,ETH,4,Paris,12,APR,2015,F
72,2:25:59,Marta LEMA,ETH,2,Hengshui,26,SEP,2015,F
73,2:26:14,Fantu ETICHA,ETH,15,Dubai,23,JAN,2015,F
